-1.011950492858886719e+00 -1.003571510314941406e+00 -1.018295526504516602e+00 -1.009055614471435547e+00
-9.549033045768737793e-01 -9.498469233512878418e-01 -9.553487300872802734e-01 -9.533000588417053223e-01
-8.992236852645874023e-01 -8.969171643257141113e-01 -8.962079882621765137e-01 -8.985133767127990723e-01
-8.447386026382446289e-01 -8.446431756019592285e-01 -8.401412367820739746e-01 -8.446031808853149414e-01
-7.912757396697998047e-01 -7.928914427757263184e-01 -7.864772677421569824e-01 -7.914739847183227539e-01
-7.386648654937744141e-01 -7.415381073951721191e-01 -7.346207499504089355e-01 -7.390257120132446289e-01
-6.867439746856689453e-01 -6.904710531234741211e-01 -6.840525865554809570e-01 -6.871615648269653320e-01
-6.353624463081359863e-01 -6.395899653434753418e-01 -6.343319416046142578e-01 -6.357846856117248535e-01
-5.843827724456787109e-01 -5.888080000877380371e-01 -5.850911140441894531e-01 -5.848005414009094238e-01
-5.336843729019165039e-01 -5.380531549453735352e-01 -5.360368490219116211e-01 -5.341204404830932617e-01
-4.831610620021820068e-01 -4.872688353061676025e-01 -4.869396388530731201e-01 -4.836595952510833740e-01
-4.327257573604583740e-01 -4.364103376865386963e-01 -4.376287162303924561e-01 -4.333388507366180420e-01
-3.823070824146270752e-01 -3.854484260082244873e-01 -3.879868686199188232e-01 -3.830880522727966309e-01
-3.318507671356201172e-01 -3.343658447265625000e-01 -3.379414975643157959e-01 -3.328418135643005371e-01
-2.813170850276947021e-01 -2.831575274467468262e-01 -2.874594926834106445e-01 -2.825451493263244629e-01
-2.306803762912750244e-01 -2.318277209997177124e-01 -2.365437299013137817e-01 -2.321491539478302002e-01
-1.799258440732955933e-01 -1.803906857967376709e-01 -1.852186322212219238e-01 -1.816151142120361328e-01
-1.290497779846191406e-01 -1.288658529520034790e-01 -1.335349082946777344e-01 -1.309112608432769775e-01
-7.805471122264862061e-02 -7.727903127670288086e-02 -8.155408501625061035e-02 -8.001586049795150757e-02
-2.694972231984138489e-02 -2.565959282219409943e-02 -2.935398928821086884e-02 -2.891462482511997223e-02
2.425287291407585144e-02 2.596229128539562225e-02 2.298951335251331329e-02 2.239716611802577972e-02
7.553642988204956055e-02 7.755570113658905029e-02 7.539466023445129395e-02 7.391727715730667114e-02
1.268865466117858887e-01 1.290924996137619019e-01 1.277860850095748901e-01 1.256338655948638916e-01
1.782866120338439941e-01 1.805470138788223267e-01 1.800939589738845825e-01 1.775285005569458008e-01
2.297223955392837524e-01 2.318995893001556396e-01 2.322630435228347778e-01 2.295744419097900391e-01
2.811807394027709961e-01 2.831365466117858887e-01 2.842474877834320068e-01 2.817385196685791016e-01
3.326510787010192871e-01 3.342519700527191162e-01 3.360198736190795898e-01 3.339790403842926025e-01
3.841246664524078369e-01 3.852487802505493164e-01 3.875624537467956543e-01 3.862489163875579834e-01
4.355951845645904541e-01 4.361388385295867920e-01 4.388771653175354004e-01 4.384949505329132080e-01
4.870583713054656982e-01 4.869461655616760254e-01 4.899771809577941895e-01 4.906575381755828857e-01
5.385126471519470215e-01 5.377052426338195801e-01 5.408880114555358887e-01 5.426718592643737793e-01
5.899567008018493652e-01 5.884616971015930176e-01 5.916397571563720703e-01 5.944673418998718262e-01
6.413917541503906250e-01 6.392733454704284668e-01 6.422715187072753906e-01 6.459707021713256836e-01
6.928222775459289551e-01 6.902101039886474609e-01 6.928189396858215332e-01 6.971037983894348145e-01
